#;F0;F1;F2;DIST;PSR;AGE;BSURF;
;(Hz);(s^-2);(s^-3);(kpc);TYPE;(Yr);(G);
71;0.835154;-4.792e-16;*;2.349;*;2.76e+07;9.18e+11;
72;1.238291;-1.181e-16;-8.900e-27;0.210;*;1.66e+08;2.52e+11;
73;0.779023;-7.920e-15;3.100e-25;2.128;*;1.56e+06;4.14e+12;
74;0.933604;-4.192e-17;-7.800e-28;1.981;*;3.53e+08;2.30e+11;
75;0.792393;*;*;25.000;*;*;*;
76;0.232457;-4.520e-16;*;2.412;*;8.15e+06;6.07e+12;
77;1.452345;-1.496e-14;*;59.700;*;1.54e+06;2.24e+12;
78;3.068586;-4.575e-14;*;59.700;*;1.06e+06;1.27e+12;
79;1.917709;-5.880e-15;*;1.931;*;5.17e+06;9.24e+11;
80;9.858135;-5.685e-13;-3.380e-24;1.768;*;2.75e+05;7.80e+11;
81;0.367001;*;*;2.644;RRAT[gac+20];*;*;
82;0.719946;-1.971e-15;*;1.584;*;5.79e+06;2.33e+12;
83;272.045181;*;*;0.872;*;*;*;
84;0.585400;*;*;2.403;*;*;*;
85;2.872539;-1.453e-14;*;59.700;*;3.13e+06;7.92e+11;
86;2.157620;-5.586e-16;*;2.441;*;6.12e+07;2.39e+11;
87;7.301316;-4.178e-15;*;25.000;*;2.77e+07;1.05e+11;
88;2.411015;-7.109e-17;*;3.061;*;5.37e+08;7.21e+10;
89;1.392830;-1.862e-15;*;9.097;*;1.19e+07;8.40e+11;
90;0.801307;-1.325e-15;*;1.472;RRAT[ttm18];9.58e+06;1.62e+12;
91;0.563271;-2.510e-14;*;2.410;*;3.56e+05;1.20e+13;
92;3.670390;-1.443e-13;*;2.600;*;4.03e+05;1.73e+12;
93;0.817696;-2.615e-16;2.700e-28;2.300;*;4.95e+07;7.00e+11;
94;21.419753;*;*;8.774;*;*;*;
95;1.065984;*;*;1.826;*;*;*;
96;0.115088;-2.640e-14;*;3.600;AXP,NRAD;6.91e+04;1.33e+14;
97;5.093689;-6.662e-15;3.390e-26;2.128;*;1.21e+07;2.27e+11;
98;0.682750;-2.063e-16;*;25.000;*;5.24e+07;8.15e+11;
99;0.364080;-2.253e-16;*;2.477;*;2.56e+07;2.19e+12;
100;1.200853;-1.874e-15;-4.980e-27;0.920;*;1.02e+07;1.05e+12;
101;422.909914;-5.220e-16;*;1.622;*;1.28e+10;8.41e+07;
102;*;*;*;25.000;RRAT[dsm+16];*;*;
103;0.552010;-4.620e-17;1.300e-27;4.916;*;1.89e+08;5.30e+11;
104;0.425216;-3.416e-14;*;1.786;*;1.97e+05;2.13e+13;
105;1.979022;*;*;1.569;*;*;*;
106;0.741188;-3.029e-15;*;1.172;RRAT[kkl+15];3.88e+06;2.76e+12;
107;15.217011;-4.487e-11;5.852e-21;3.200;HE;5.37e+03;3.61e+12;
108;1.585914;-3.010e-15;*;1.260;*;8.35e+06;8.79e+11;
109;0.939932;-1.230e-14;*;1.743;*;1.21e+06;3.89e+12;
110;0.566185;-4.296e-14;*;1.952;*;2.09e+05;1.56e+13;
111;0.928218;-2.499e-16;*;1.523;*;5.89e+07;5.66e+11;
112;2.656844;-4.658e-14;*;1.558;*;9.04e+05;1.59e+12;
113;40.691272;-4.951e-16;*;1.161;*;1.30e+09;2.74e+09;
114;1.821892;-2.198e-15;3.200e-26;2.004;*;1.31e+07;6.10e+11;
115;430.461055;-1.434e-14;2.800e-26;3.150;HE[khvb98,aaa+09f];4.76e+08;4.29e+08;
116;0.971157;*;*;2.246;*;*;*;
117;1.239311;*;*;2.089;*;*;*;
118;0.681747;-1.445e-15;1.900e-28;1.755;*;7.47e+06;2.16e+12;
119;0.647082;*;*;0.936;*;*;*;
120;1.689189;*;*;0.217;*;*;*;
121;0.678887;*;*;2.717;*;*;*;
122;0.469903;*;*;2.796;*;*;*;
123;384.491935;-2.494e-15;*;1.853;HE[brj+21];2.44e+09;2.12e+08;
124;4.606300;-1.169e-12;*;2.000;HE[tpc+11];6.24e+04;3.50e+12;
125;0.042489;-4.903e-17;*;1.558;*;1.37e+07;2.56e+13;
126;393.460010;-1.172e-15;*;1.170;HE[cck+16];5.32e+09;1.40e+08;
127;2.233596;-1.561e-16;*;1.514;*;2.27e+08;1.20e+11;
128;6.811989;*;*;3.100;*;*;*;
129;0.828387;-5.661e-17;*;1.014;*;2.32e+08;3.19e+11;
130;0.720677;-6.727e-16;-2.450e-27;0.739;*;1.70e+07;1.36e+12;
131;1.159958;*;*;1.838;*;*;*;
132;316.455696;*;*;0.386;HE[hrm+11,fermi21];*;*;
133;269.978402;-1.437e-15;*;0.817;HE[trr+21,fermi21];2.98e+09;2.73e+08;
134;0.506509;*;*;0.366;*;*;*;
135;192.683716;-6.540e-16;*;1.328;HE[wlz+18];4.67e+09;3.06e+08;
136;0.329807;-6.914e-17;6.700e-29;0.952;*;7.56e+07;1.40e+12;
137;2.970707;-3.362e-15;*;2.290;*;1.40e+07;3.62e+11;
138;0.732773;-8.340e-16;*;1.929;*;1.39e+07;1.47e+12;
139;1.119420;-2.697e-16;*;2.557;*;6.58e+07;4.44e+11;
140;1.399542;-4.012e-15;5.300e-28;1.695;*;5.53e+06;1.22e+12;
141;3.714703;-1.014e-16;-3.700e-28;2.439;*;5.80e+08;4.50e+10;
142;0.567558;-1.550e-15;*;1.907;*;5.80e+06;2.95e+12;
143;365.953363;-2.366e-15;*;1.300;*;2.45e+09;2.22e+08;
144;0.486332;*;*;1.053;RRAT[kkl+15];*;*;
145;303.090979;-6.474e-16;*;1.603;HE;7.42e+09;1.54e+08;
146;0.529661;*;*;2.037;*;*;*;
147;0.992418;*;*;3.774;*;*;*;
148;0.385056;-8.451e-18;*;1.594;*;7.22e+08;3.89e+11;
149;0.516935;-3.587e-15;-1.800e-27;1.705;*;2.28e+06;5.16e+12;
150;0.815657;-2.309e-15;*;1.507;*;5.60e+06;2.09e+12;
151;25.560636;-1.573e-16;*;2.100;*;2.57e+09;3.11e+09;
152;0.413092;-1.876e-16;*;3.746;*;3.49e+07;1.65e+12;
153;10.604454;*;*;1.789;*;*;*;
154;*;*;*;25.000;RRAT[mss+20];*;*;
155;2.251722;-6.610e-14;*;0.835;NRAD;5.40e+05;2.43e+12;
156;5.075367;-1.228e-14;1.030e-26;3.571;*;6.55e+06;3.10e+11;
157;4.415316;-2.843e-15;*;1.481;*;2.46e+07;1.84e+11;
158;6.394511;-1.797e-13;4.100e-25;1.000;HE[to07];5.64e+05;8.39e+11;
159;10.928271;-1.300e-15;*;1.884;*;1.33e+08;3.19e+10;
160;12.590140;-2.652e-12;*;*;NRAD;7.52e+04;1.17e+12;
161;1.834007;-5.193e-15;*;1.014;*;5.60e+06;9.28e+11;
162;1.952384;-1.050e-15;*;1.849;*;2.95e+07;3.80e+11;
163;60.606061;*;*;1.668;*;*;*;
164;384.615385;*;*;1.641;*;*;*;
165;1.681870;-1.576e-14;*;4.545;*;1.69e+06;1.84e+12;
166;38.907873;-1.196e-16;*;1.340;*;5.15e+09;1.44e+09;
167;0.544366;*;*;1.573;*;*;*;
168;1.326260;*;*;1.661;*;*;*;
169;0.532340;*;*;0.415;RRAT;*;*;
170;1.455604;*;*;1.630;*;*;*;
171;0.925069;*;*;1.842;*;*;*;
172;2.559410;-5.018e-16;1.800e-27;1.368;*;8.08e+07;1.75e+11;
173;1.528117;*;*;1.480;*;*;*;
174;2.271266;*;*;1.837;*;*;*;
175;1.320796;-2.302e-15;*;2.519;*;9.09e+06;1.01e+12;
176;0.110152;-4.975e-17;*;*;AXP,NRAD;3.51e+07;6.17e+12;
177;343.642612;*;*;2.206;HE[trr+21,fermi21];*;*;
178;0.805802;*;*;1.687;*;*;*;
179;0.289603;-2.314e-15;*;*;XINS,NRAD;1.98e+06;9.88e+12;
180;0.462683;-2.491e-16;1.900e-27;2.196;*;2.94e+07;1.60e+12;
181;1.110981;-7.406e-17;*;1.939;*;2.38e+08;2.35e+11;
182;1.084041;-4.624e-14;*;1.795;*;3.71e+05;6.10e+12;
183;3.064857;-7.670e-17;*;1.521;*;6.33e+08;5.22e+10;
184;173.687946;-1.728e-15;*;0.157;HE[bt93,aaa+09f];1.59e+09;5.81e+08;
185;0.456999;*;*;0.675;RRAT;*;*;
186;2.220010;-7.311e-16;-1.800e-28;1.809;*;4.81e+07;2.62e+11;
187;2.086968;-1.468e-14;*;49.700;*;2.25e+06;1.29e+12;
188;2.283031;-5.350e-16;-9.300e-28;1.774;*;6.76e+07;2.15e+11;
189;4.074078;-0.000e+00;*;49.700;*;*;*;
190;1.821695;-1.909e-14;3.400e-27;0.400;*;1.51e+06;1.80e+12;
191;21.842733;-8.880e-17;*;0.522;*;3.90e+09;2.95e+09;
192;0.719871;-2.533e-15;*;0.765;*;4.50e+06;2.64e+12;
193;2.934880;-2.043e-14;*;1.180;*;2.28e+06;9.10e+11;
194;3.120877;-9.946e-14;*;49.700;*;4.97e+05;1.83e+12;
195;8.541675;*;*;49.700;*;*;*;
196;1.249794;-5.732e-14;*;49.700;*;3.45e+05;5.48e+12;
197;1.980590;*;*;1.517;*;*;*;
198;0.400479;-3.368e-17;*;1.333;*;1.88e+08;7.33e+11;
199;4.321701;*;*;49.700;*;*;*;
200;0.530932;-1.494e-16;*;1.938;*;5.63e+07;1.01e+12;
201;0.881912;*;*;49.700;*;*;*;
202;0.882553;-1.089e-15;-1.900e-27;0.160;*;1.28e+07;1.27e+12;
203;0.173548;-1.752e-13;6.900e-21;2.200;AXP,NRAD;1.57e+04;1.85e+14;
204;1.566010;-1.369e-14;1.130e-26;1.319;*;1.81e+06;1.91e+12;
205;1.446652;-4.832e-14;*;49.700;*;4.74e+05;4.04e+12;
206;294.985251;*;*;1.383;HE[qpl+19,fermi21];*;*;
207;246.558157;-2.682e-16;*;0.817;*;1.46e+10;1.35e+08;
208;13.064834;-1.354e-15;*;1.562;*;1.53e+08;2.49e+10;
209;3.104994;-1.986e-15;*;0.818;*;2.48e+07;2.61e+11;
210;200.377707;-2.800e-17;-1.533e-24;12.100;*;1.13e+11;5.97e+07;
211;3.122357;-1.991e-14;*;0.966;HE[brs+19];2.48e+06;8.18e+11;
212;4.497080;-2.347e-16;*;0.159;*;3.04e+08;5.14e+10;
213;1.095876;-2.294e-16;*;1.337;*;7.57e+07;4.22e+11;
214;2.939424;-1.448e-14;*;1.434;*;3.22e+06;7.64e+11;
215;1.941748;*;*;1.421;*;*;*;
216;3.799224;-1.006e-14;*;49.700;*;5.98e+06;4.33e+11;
217;4.138350;-5.154e-16;4.900e-28;2.379;*;1.27e+08;8.63e+10;
218;2.307227;*;*;49.700;*;*;*;
219;1.482510;-3.896e-14;*;49.700;*;6.03e+05;3.50e+12;
220;2.821371;-5.859e-16;-3.300e-28;1.841;*;7.63e+07;1.63e+11;
221;0.124270;-1.004e-12;*;*;AXP,NRAD;1.96e+03;7.32e+14;
222;0.266984;-2.855e-15;*;1.215;*;1.48e+06;1.24e+13;
223;1.450908;-1.211e-15;*;7.002;*;1.90e+07;6.37e+11;
224;1.024867;-1.625e-14;*;49.700;*;9.99e+05;3.93e+12;
225;1.102536;*;*;25.000;*;*;*;
226;1.555832;-1.296e-14;*;49.700;*;1.90e+06;1.88e+12;
227;0.870174;*;*;49.700;*;*;*;
228;1.038402;-1.725e-16;*;2.172;*;9.53e+07;3.97e+11;
229;6.357905;-1.133e-14;*;1.239;*;8.89e+06;2.12e+11;
230;227.885949;-6.549e-16;*;2.392;HE;5.51e+09;2.38e+08;
231;1.021450;*;*;6.226;*;*;*;
232;29.946923;-3.775e-10;1.115e-20;2.000;HE[cdt69,fhm+69,hjm+70];1.26e+03;3.79e+12;
233;*;*;*;0.403;RRAT[ttm18];*;*;
234;0.550187;-1.287e-13;*;49.700;*;6.78e+04;2.81e+13;
235;4.750044;*;*;49.700;*;*;*;
236;4.987249;-2.860e-13;*;49.700;*;2.76e+05;1.54e+12;
237;0.802661;-3.722e-16;*;0.143;*;3.42e+07;8.58e+11;
238;8.879953;*;*;49.700;*;*;*;
239;62.026190;-1.992e-10;6.100e-21;49.700;NRAD;4.93e+03;9.25e+11;
240;6.985276;-1.790e-13;-6.370e-25;1.300;HE[mkz+03];6.18e+05;7.33e+11;
241;1.907411;-1.630e-15;*;1.421;*;1.85e+07;4.90e+11;
242;19.774686;-1.873e-10;3.772e-21;49.700;HE[mp85];1.67e+03;4.98e+12;
243;0.777596;-4.958e-16;*;0.547;*;2.48e+07;1.04e+12;
244;2.351895;*;*;49.700;*;*;*;
245;4.065458;-2.549e-13;2.420e-25;1.565;*;2.53e+05;1.97e+12;
246;1.410528;-7.839e-15;*;49.700;*;2.85e+06;1.69e+12;
247;*;*;*;1.283;RRAT[dsm+16];*;*;
248;0.931159;*;*;2.062;RRAT;*;*;
249;0.351636;-9.459e-16;*;1.517;*;5.89e+06;4.72e+12;
250;0.573066;*;*;1.804;RRAT[dsm+16];*;*;
251;2.150718;-6.596e-13;1.800e-24;*;NRAD;5.17e+04;8.24e+12;
252;0.871911;*;*;1.065;*;*;*;
253;1.207966;-8.697e-15;*;49.700;*;2.20e+06;2.25e+12;
254;391.180128;-1.125e-15;*;1.834;*;5.51e+09;1.39e+08;
255;22.913372;-3.833e-17;*;4.272;*;9.47e+09;1.81e+09;
256;0.442211;-5.436e-16;*;0.553;*;1.29e+07;2.54e+12;
257;2.525449;-8.305e-15;2.420e-26;2.083;*;4.82e+06;7.27e+11;
258;366.575075;-6.450e-16;*;0.215;HE;9.00e+09;1.16e+08;
259;0.929195;*;*;1.311;*;*;*;
260;1.057256;-1.510e-14;*;1.651;*;1.11e+06;3.62e+12;
261;17.953962;-7.575e-17;*;0.574;*;3.76e+09;3.66e+09;
262;258.978479;-8.283e-16;*;3.259;HE[egc+13];4.95e+09;2.21e+08;
263;0.597218;*;*;1.662;*;*;*;
264;3.699190;-5.469e-14;*;0.807;*;1.07e+06;1.05e+12;
265;0.708170;*;*;1.080;*;*;*;
266;3.355904;-6.697e-16;-1.650e-26;0.535;*;7.94e+07;1.35e+11;
267;2.252905;-7.600e-16;*;1.083;*;4.70e+07;2.61e+11;
268;326.600562;-1.023e-15;*;0.780;HE;5.06e+09;1.73e+08;
269;1.614992;-8.463e-15;*;0.186;*;3.02e+06;1.43e+12;
270;2.985431;-5.299e-13;*;3.571;*;8.93e+04;4.52e+12;
271;317.594455;-1.770e-15;*;0.630;HE;2.84e+09;2.38e+08;
272;0.962276;*;*;3.699;*;*;*;
273;3.704334;-9.935e-17;*;1.701;*;5.91e+08;4.47e+10;
274;34.657407;-5.681e-17;*;0.420;*;9.67e+09;1.18e+09;
275;367.405552;-3.352e-15;*;1.641;HE;1.74e+09;2.63e+08;
276;*;*;*;0.380;RRAT;*;*;
277;3.001126;-2.290e-13;*;*;NRAD;2.08e+05;2.95e+12;
278;1.629302;-2.346e-16;*;1.375;*;1.10e+08;2.36e+11;
279;0.962393;-7.692e-16;-7.300e-29;1.938;*;1.98e+07;9.40e+11;
280;2.006433;*;*;1.637;*;*;*;
281;2.885815;-1.414e-14;*;1.794;*;3.23e+06;7.76e+11;
282;2.101348;-1.316e-13;*;2.289;*;2.53e+05;3.81e+12;
283;0.458716;*;*;1.932;RRAT;*;*;
284;0.805528;-3.555e-16;*;1.771;RRAT;3.59e+07;8.35e+11;
285;2.098095;-8.785e-15;*;3.125;*;3.78e+06;9.87e+11;
286;1.469346;-8.092e-15;*;2.109;*;2.88e+06;1.62e+12;
287;0.800929;*;*;0.982;*;*;*;
288;0.803588;-4.600e-15;-1.180e-26;0.320;HE[to05];2.77e+06;3.01e+12;
289;9.010718;-2.937e-13;*;4.583;HE[wcp+18];4.86e+05;6.41e+11;
290;3.474635;-1.264e-12;1.660e-22;2.105;HE[tsn+01,waa+10];4.36e+04;5.55e+12;
291;3.362529;-8.999e-13;-2.000e-23;1.355;NRAD;5.92e+04;4.92e+12;
292;4.217640;-1.952e-13;*;0.190;HE;3.42e+05;1.63e+12;
293;0.307389;-3.609e-16;*;3.676;*;1.35e+07;3.57e+12;
294;29.536430;*;*;*;NRAD;*;*;
295;2.100840;*;*;2.815;*;*;*;
296;253.436600;*;*;0.715;*;*;*;
297;0.503881;-8.054e-16;*;0.383;*;9.91e+06;2.54e+12;
298;348.559232;-4.189e-16;*;0.714;HE[sbc+19];1.32e+10;1.01e+08;
299;*;*;*;1.257;RRAT[ttm18];*;*;
300;112.949723;-6.278e-17;*;1.220;*;2.85e+10;2.11e+08;
301;1.520050;*;*;5.145;*;*;*;
302;1.106301;-9.009e-16;*;2.504;*;1.95e+07;8.25e+11;
303;398.406375;*;*;0.367;HE[fermi21];*;*;
304;0.809813;-4.211e-15;*;2.666;*;3.05e+06;2.85e+12;
305;0.239866;*;*;9.987;*;*;*;
306;1.082188;-1.786e-16;*;2.318;*;9.60e+07;3.80e+11;
307;210.526316;*;*;0.913;HE;*;*;
308;0.823424;-2.576e-15;8.200e-28;2.348;*;5.07e+06;2.17e+12;
309;0.816490;-1.780e-17;*;1.623;*;7.27e+08;1.83e+11;
310;5.459800;-9.512e-16;*;0.372;*;9.09e+07;7.74e+10;
311;1.775269;-2.884e-14;*;2.301;*;9.75e+05;2.30e+12;
312;2.597884;-3.708e-13;7.640e-25;0.288;HE[chmm89,rfk+96,srg+97,w;1.11e+05;4.65e+12;
313;1.569859;*;*;3.916;*;*;*;
314;5.110621;-1.790e-17;-5.600e-29;0.413;*;4.52e+09;1.17e+10;
315;1.501516;*;*;0.538;*;*;*;
316;29.045300;-3.209e-16;*;1.203;*;1.43e+09;3.66e+09;
317;2.060715;-5.351e-16;*;0.371;*;6.10e+07;2.50e+11;
318;0.823662;-2.714e-16;*;1.168;*;4.81e+07;7.05e+11;
319;182.117235;-4.944e-16;*;0.106;*;5.84e+09;2.90e+08;
320;1.025931;-7.664e-15;*;9.810;*;2.12e+06;2.70e+12;
321;0.119174;-9.918e-16;*;0.400;XINS,NRAD;1.90e+06;2.45e+13;
322;64.340148;-1.821e-16;*;2.680;*;5.60e+09;8.37e+08;
323;2.356760;-5.146e-16;1.500e-27;2.778;*;7.26e+07;2.01e+11;
324;0.290503;-2.474e-14;*;2.900;*;1.86e+05;3.21e+13;
325;3.973635;-1.789e-12;2.000e-23;2.681;HE[mhl+02,fermi21];3.52e+04;5.40e+12;
326;1.960168;-7.284e-14;*;2.000;HE[sbc+19];4.26e+05;3.15e+12;
327;244.490583;-3.600e-16;*;1.151;*;1.08e+10;1.59e+08;
328;0.556715;-1.768e-15;*;4.122;*;4.99e+06;3.24e+12;
329;6.400000;-5.000e-13;*;*;NRAD;2.03e+05;1.40e+12;
330;0.205640;-6.423e-15;*;0.104;RRAT;5.07e+05;2.75e+13;
331;3.121426;-5.328e-14;6.800e-26;3.059;*;9.28e+05;1.34e+12;
332;44.054069;-3.416e-15;*;1.100;HE[cgm+07,gkj+13];2.04e+08;6.40e+09;
333;0.360560;-1.160e-16;*;1.100;*;4.92e+07;1.59e+12;
334;2.667230;-9.782e-15;-4.050e-24;1.600;*;4.32e+06;7.27e+11;
335;0.146462;-5.785e-16;*;1.124;*;4.01e+06;1.37e+13;
336;318.550975;*;*;0.509;*;*;*;
337;346.531996;-1.464e-15;*;1.150;HE[lsg+15,fermi21];3.75e+09;1.90e+08;
338;5.996559;-6.049e-13;-1.320e-24;2.000;HE;1.57e+05;1.69e+12;
339;1.649646;-1.010e-15;*;1.610;*;2.59e+07;4.80e+11;
340;10.870000;-1.130e-13;*;*;NRAD[nie+20];1.52e+06;3.00e+11;
341;4.654659;-4.738e-14;*;0.565;*;1.56e+06;6.94e+11;
342;0.358291;-2.139e-15;*;0.810;*;2.65e+06;6.90e+12;
343;2.452781;-4.080e-15;*;1.865;*;9.52e+06;5.32e+11;
344;0.912865;-8.142e-16;*;0.560;*;1.78e+07;1.05e+12;
345;0.851154;*;*;1.604;*;*;*;
346;1.092638;-1.309e-16;*;0.338;*;1.32e+08;3.21e+11;
347;287.457854;-6.435e-16;*;1.110;HE[wob+04,aaa+09f];7.08e+09;1.67e+08;
348;0.477642;*;*;1.718;*;*;*;
349;0.693313;-5.191e-16;-2.300e-28;1.464;*;2.12e+07;1.26e+12;
350;1.465706;-3.478e-15;-2.370e-26;2.710;*;6.68e+06;1.06e+12;
351;0.915751;*;*;0.444;*;*;*;
352;3.650000;-3.680e-14;*;*;NRAD[nie+20];1.57e+06;8.80e+11;
353;1.750527;-3.558e-15;*;0.818;*;7.80e+06;8.24e+11;
354;*;*;*;1.305;RRAT[ttm18];*;*;
355;0.456207;-8.762e-16;*;2.916;*;8.25e+06;3.07e+12;
356;0.484707;*;*;1.848;*;*;*;
357;0.087948;-4.300e-16;*;*;XINS,NRAD;3.24e+06;2.54e+13;
358;1.898818;-1.363e-15;*;0.887;*;2.21e+07;4.51e+11;
359;1.154269;-5.343e-16;*;2.884;*;3.42e+07;5.96e+11;
360;1.827478;-1.027e-14;*;6.488;*;2.82e+06;1.31e+12;
361;0.801089;*;*;0.355;*;*;*;
362;2.072127;-1.928e-16;*;5.860;*;1.70e+08;1.49e+11;
363;1.881822;*;*;2.449;*;*;*;
364;0.773849;-1.007e-16;*;0.432;*;1.22e+08;4.72e+11;
365;1.550000;-3.339e-16;*;2.491;*;7.35e+07;3.03e+11;
366;2.302862;-2.068e-17;*;0.358;*;1.76e+09;4.16e+10;
367;1.309343;-9.943e-16;*;0.422;*;2.09e+07;6.73e+11;
368;0.462693;-1.613e-16;*;0.484;*;4.55e+07;1.29e+12;
369;0.807670;-1.373e-15;1.800e-28;1.900;*;9.32e+06;1.63e+12;
370;8.010467;-1.567e-13;*;4.084;*;8.10e+05;5.59e+11;
371;0.931475;-1.056e-14;*;3.576;*;1.40e+06;3.66e+12;
372;1.833364;-6.640e-17;*;0.571;*;4.37e+08;1.05e+11;
373;2.520617;-2.210e-14;*;5.802;*;1.81e+06;1.19e+12;
374;8.865291;-7.290e-16;*;2.200;NRAD;1.93e+08;3.27e+10;
375;1.156239;-1.398e-16;*;2.500;*;1.31e+08;3.04e+11;
376;101.406008;-1.510e-15;*;1.689;*;1.06e+09;1.22e+09;
377;1.884444;-6.070e-15;1.500e-26;0.498;HE[bwt+04];4.92e+06;9.64e+11;
378;74.074074;*;*;1.571;*;*;*;
379;0.540857;-2.914e-16;-1.000e-27;0.354;*;2.94e+07;1.37e+12;
380;3.208486;-1.317e-14;*;5.883;*;3.86e+06;6.39e+11;
381;8.256428;-2.918e-13;*;5.508;*;4.48e+05;7.29e+11;
382;2.599800;*;*;0.095;*;*;*;
383;1.847048;-3.336e-14;*;0.555;*;8.77e+05;2.33e+12;
384;11.194650;-1.567e-11;1.028e-21;0.280;HE[hg73,tfko75];1.13e+04;3.38e+12;
385;1.354214;-2.421e-15;*;3.609;*;8.86e+06;9.99e+11;
