INFO:root:Using default metrics strategy: MetricsStrategy.DVM
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FDJVMTV HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FJ0IZWX HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FJCXHDX HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FK71AJS HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FQN92JF HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FGTLASR HTTP/1.1" 200 7568
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FKCOHVH HTTP/1.1" 200 5854
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FQF1XRK HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FZCMV6N HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FYQPWKG HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F3C0C7P HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FBPNZJA HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FMMOHBI HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F2DJRR4 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FJQOYDI HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FEXWQHL HTTP/1.1" 200 6420
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FV8ZPEC HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FYUQHRU HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F58C6HG HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FLUFKYG HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FDGXCTH HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F3H7DNP HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FHNVCBR HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FUAYKSU HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FAKNUWF HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FWXHLOF HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F9VBZUL HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FCEXWYQ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FNSMOOR HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FEKSCCU HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F0WILGX HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F1N2AD4 HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FSNYNKQ HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FRRPGWI HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FJCWZMA HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FJB58ON HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FUAABZK HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FJEMCQJ HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FL7YF2G HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F3ZU0AS HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F9V5WCM HTTP/1.1" 200 4369
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FQR4N7V HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FMBAVER HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FSYNPBS HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FVHNJBD HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FOKEATQ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F2NT5CV HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F9VDUAP HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FKRZS4M HTTP/1.1" 200 5219
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F5XBJBM HTTP/1.1" 200 7228
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FHYNJSZ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FY1WNU7 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FCICODO HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FN3IEXS HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FBG0OHO HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F0U2TCB HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FJOEZDP HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FFYTME3 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F4GDRB1 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FNAEW8A HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F3PP3ZE HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FMONPNF HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FPXUBUN HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FXDBV6J HTTP/1.1" 200 6819
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FMZO8HA HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FHKXZ1E HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F2P9LZM HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FT9ZXRP HTTP/1.1" 404 94
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FQN75GF HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FUTOHX5 HTTP/1.1" 200 7286
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2F906GEU HTTP/1.1" 200 7992
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FSYJIM7 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FQIZWWE HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FF89A4R HTTP/1.1" 200 7392
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): dataverse.harvard.edu:443
DEBUG:urllib3.connectionpool:https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId/versions/:latest-published?persistentId=doi%3A10.7910%2FDVN%2FOI3MAM HTTP/1.1" 404 94
