ID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,DNI_Col,DHI_Col,GHI_Col,Comment
UBG,,USAid Gaborone,-24.6609993,25.93400002,1014,UTC+02:00,Baratani Road,Gaborone,South-East District,Botswana,,Roof of building in University of Botswana,,BSh,permanently offline,1M,,,,,,2014-11-01,2020-11-01,DNI_Avg,DIF_Avg,GHI_Avg,
UNV,,USAid Venda,-23.13100052,30.42399979,628,UTC+02:00,,Makhado Local Municipality,Limpopo,South Africa,,Vuwani Science Research Centre,,Cwa,,1M,,,,,,2015-04-01,,DNI_Avg,DIF_Avg,GHI_Avg,
UNZ,,University of Zululand,-28.85289955,31.85161018,90,UTC+02:00,R102,uMhlathuze Local Municipality,KwaZulu-Natal,South Africa,,Roof of university building,,Cfa,,1M,,,,,,2013-10-01,,DNI_Avg,DIF_Avg,GHI_Avg,
NUST,,USAid Namibian University of Science and Technology,-22.56500053,17.07500076,1683,UTC+02:00,John Meinert Street,Windhoek,Khomas,Namibia,,Roof of Engineering Building,,BSh,,1M,,,,,,2016-08-01,,DNI_Avg,DIF_Avg,GHI_Avg,
FRH,,USAid University of Fort Hare,-32.78461075,26.84519958,540,UTC+02:00,Old Hogsback Road,"Nkonkobe Local Municipality, Alice",Eastern Cape,South Africa,,Roof of Zoology Department,,Cfb,permanently offline,1M,,,,,,2017-02-01,,DNI_Avg,DIF_Avg,GHI_Avg,
MRB,,GIZ Murraysburg,-31.89009094,24.05623055,1548,UTC+02:00,,Beaufort West Local Municipality,Western Cape,South Africa,,Inside enclosure on rural farmland,,BSk,permanently offline,1M,,,,,,2017-03-01,2019-10-01,DNI_Avg,DIF_Avg,GHI_Avg,
HLO,,Mariendal,-33.85412979,18.82444954,178,UTC+02:00,,Stellenbosch Local Municipality,Western Cape,South Africa,,Installed on a container,,Csa,permanently offline,1M,,,,,,2015-10-01,,DNI_Avg,DIF_Avg,GHI1_Avg,
SALT,,Eskom Sutherland SALT,-32.37778091,20.8116703,1761,UTC+02:00,,Karoo Hoogland Local Municipality,Northern Cape,South Africa,,Karoo scrubland,,BSk,permanently offline,1M,,,,,,2017-07-01,2020-12-01,Sol_Direct_Avg,Sol_Global2_Avg,Sol_Global1_Avg,
CSIR,,CSIR Energy Centre,-25.746519,28.278739,1400,UTC+02:00,Meiring Naude Road,Pretoria,Gauteng,South Africa,,Roof of building,,Cwa,,1M,,,,,,2017-03-01,,DNI_Avg,DIF_Avg,GHI_Avg,
ELA,,Mintek Elandsfontein,-25.88708,29.118444,1629,UTC+02:00,,Emalahleni Local Municipality,Mpumalanga,South Africa,,Inside enclosure on rural farmland,,Cwb,,1M,,,,,,2019-08-01,,DNI_Avg,DIF_Avg,GHI_Avg,
CUT,,Central University of Technology,-29.121337,26.215909,1397,UTC+02:00,President Brand Street,Bloemfontein,Free State,South Africa,,Roof of the Engineering building,,BSk,temporary offline,1M,,,,,,2017-10-01,,DNI_Avg,DIF_Avg,GHI_Avg,
