Factors,Extracellular exchange,Tyrosine metabolism,Cytochrome metabolism,Sphingolipid metabolism,Glutamate metabolism,Urea cycle,Arginine and proline metabolism,Glycolysis/gluconeogenesis,Eicosanoid metabolism,Starch and sucrose metabolism,Miscellaneous,ROS detoxification,Glycerophospholipid metabolism,Intracellular demand,Galactose metabolism,Fructose and mannose metabolism,Glutathione metabolism,Glyoxylate and dicarboxylate metabolism,Intracellular source/sink,Drug metabolism
c,-475.9535562173607,-508.48822837107446,-1986.6173780808144,507.64131725489125,-385.08905151793397,-385.0890515134027,665.888030882442,-654.9396125798733,688.1613888394432,61.58705406131581,-284.23096324044235,-496.28716897288234,1095.7994317024015,-503.86714461035,338.5378405206933,-7.663345513719833e-10,-469.6181716004588,-1432.30574563168,349.30030682192944,-955.5567798361384
c,-481.52000274125703,-510.1228151232098,-1988.2659303245268,507.64131725489125,-580.9881523229536,-580.9881523190738,911.6914795832737,-710.3846322522081,688.1613888394432,84.43484440593572,-286.40135788572843,-497.3862038021456,1094.288255738009,-505.5160535180331,338.5378405206933,-7.663345513719833e-10,-471.26672384444015,-1431.4806447876429,418.5200340435332,-964.6052453661547
healthy,314.4490494556481,478.20021115809186,0.035082598203871385,-463.4297625866781,358.237000256034,358.237000258184,-331.14690015472814,265.34089815506536,-310.387568523651,-181.5745648585031,407.8878314308984,493.868090607653,-894.9193535824106,482.8212949187315,-331.48451812860867,-1.016132955555804e-09,347.3955174014914,566.3120920598819,-360.714074020591,679.6876851571365
c,-434.2275376090437,-513.7666835437218,-1991.9125352031874,507.64131725489125,-590.172816053402,-590.1728160503999,672.167705277967,265.34089815506536,688.1613888394432,57.61900968381022,-287.5704581730758,-499.8172737213529,1098.7680492028785,-509.16230173319184,338.5378405206933,-7.663345513719833e-10,-474.9133287228273,564.9107657331884,336.7460944705785,-967.4423683126629
c,-479.4201106333344,-509.785273533825,-1988.2728213830092,53.21757490967565,-604.9417293725389,-604.9417293723986,1314.549381363771,-689.6909622063326,688.1613888394432,48.75378341824387,-284.73616103680354,-497.3907978401419,1098.1885869610232,-505.52258791235965,338.5378405206933,-7.663345513719833e-10,-471.27361490235666,-1432.4358230280945,307.5449995393918,-963.3241396084954
healthy,-271.35737525144674,-512.1024453999528,0.021387510449812908,8.736290472199983,-515.9729533123202,-515.9729533177966,-633.173915291648,265.34089815506536,688.1613888394432,58.65971070606853,-473.6631738739119,-498.8820526264532,-897.7800595642793,-507.75947009195374,338.5378405206933,-7.663345513719833e-10,-473.5104970817704,565.7870880860958,300.04267334277574,-922.8039524684508
c,-482.67103222243696,-512.619358198305,-1990.8949506695853,507.64131725489125,-569.1119269894858,-569.1119269863632,662.9112906476844,-718.8390053825985,688.1613888394432,58.207143969870835,-286.0498592943016,-499.13888403225144,1097.6239128142079,-508.14471719946255,338.5378405206933,-7.663345513719833e-10,-473.8957441891528,-1432.4267137329869,334.0018075063306,-968.6576231713431
healthy,-107.02975368373754,-472.0493685113782,0.018431395055699795,142.6405624864662,-445.2582488753998,-445.2582488762464,637.1861437465192,265.34089815506536,-304.14515217767075,105.15919730847159,-432.552972861952,-475.6381985070965,1095.391355955211,-472.8936889081562,338.5378405206933,-7.663345513719833e-10,-438.64471589988,564.1602627874133,374.5801805630478,473.0501548732593
c,-526.5096784448572,-504.91612287429234,-1983.7318461534437,507.64131725489125,-568.1958322679134,-568.1958322641567,670.5198650147694,-687.8661994663348,688.1613888394432,32.87314401055302,-281.2593760759078,-494.3634810219321,1096.9750167382808,-500.98161268269143,338.5378405206933,-7.663345513719833e-10,-466.7326396730124,-1432.403575671726,253.70416319694274,-960.9114003523742
healthy,-128.99227119801284,-499.75072152634567,0.012819098537192986,69.19236821588106,-596.0964434971934,-596.0964434953636,-617.2005676216559,265.34089815506536,-300.7303942457735,48.88080169864119,-473.8823503743012,-490.95764142554617,1095.788673367452,-495.8728532902943,338.5378405206933,-7.663345513719833e-10,-461.6238802804327,566.7445790440331,299.7487546203551,439.31140219932917
c,-445.8947525336538,-494.4343876552289,-1977.9615392109163,507.64131725489125,-529.2240179982043,-529.2240179936001,660.847726084251,-681.4050110641521,688.1613888394432,99.32544712999561,-221.24935561778483,-487.1351314209247,1058.2234757540675,-490.1390882817276,338.5378405206933,-7.663345513719833e-10,-455.8901152715577,-1432.335227250675,255.67946961671078,-958.0054720701353
c,-481.3704337971105,-508.702847673564,-1986.9048326988368,507.64131725489125,-582.1538544787579,-582.153854473937,679.5180496559846,-713.8833033264158,688.1613888394432,42.604814072095664,-285.7933112252743,-496.4788053844619,1098.1732577950472,-504.15531418165244,338.5378405206933,-7.663345513719833e-10,-469.9056262184073,-1432.3999300246835,293.5595536956778,-965.3484535903036
healthy,305.29270134803346,478.20021115809186,0.03300901594559491,52.674588913639184,599.5947456680688,599.5947456519722,-515.108340504597,265.34089815506536,-308.31639620015847,-194.74265853694172,398.3842527447929,375.6896841486739,1097.8611821973223,482.8212949187315,-571.3956161699645,-1.582236563990591e-09,401.22628021533734,566.5631053201573,-364.8080486444112,652.4175195349104
healthy,367.57839028755035,478.20021115809186,0.022332567289709004,32.80967433428401,358.237000256034,358.237000258184,-316.6738883838223,265.34089815506536,-309.0862116970005,-41.595621491628435,407.8878314308984,247.05360847567047,1095.861943941449,482.8212949187315,30.054565664602478,-1.316806219620048e-09,517.0702679289268,566.4994020284272,-289.55766873598,594.8643954344475
healthy,-294.2122555908462,-398.5195291454827,-0.02453973537319598,10.121959657526588,-381.0203017326886,-381.02030174361596,671.4929534752565,-656.3526823009236,688.1613888394432,32.22920396678718,-415.9089868701916,-430.61773494252714,-894.9936713461304,-405.36299356855557,338.5378405206933,-7.663345513719833e-10,-371.11402055714865,-1428.9847496832595,259.27777152353417,-953.5459197550188
healthy,-194.05265571590434,-476.4298920873236,-0.025071668007626613,382.4252217930132,358.237000256034,358.237000258184,1272.6008277298663,265.34089815506536,688.1613888394432,179.06827780235093,-307.6272820318825,-481.8922924752284,433.7244451492451,-461.3427867854815,338.5378405206933,-7.663345513719833e-10,-448.02585685542044,565.7763321831615,251.33535297362772,-957.3075022553912
healthy,273.96526678564356,478.20021115809186,-0.01871942668833526,-407.5267883374903,335.4700381936027,335.47003818529276,-600.0832834489698,265.34089815506536,-307.9793490276895,-161.59297165129246,381.3992145392088,488.5879471930389,-899.3872775047766,482.8212949187315,-358.7429934845205,-6.683677611363237e-09,517.0702679289268,565.8739795433357,-349.06380610903324,678.1235454934239
healthy,248.06379603101695,-56.2066559988256,-0.02065211179592552,-42.15145755555213,358.237000256034,358.237000258184,1327.5383571229231,265.34089815506536,-305.78822128642435,10.583030234157288,-12.82212030011424,-225.871494340746,-895.9920766428963,-98.2436326663057,234.97436159793153,6.783210437788512e-09,-63.994659658258996,548.5255158881056,-264.0777267291618,522.6361275440963
healthy,-131.97224862973835,-503.1912371467013,0.016795942705130074,190.52359901080735,358.237000256034,358.237000258184,612.1883372444195,265.34089815506536,-261.96544360863345,87.75565395819655,-475.0060691894432,-492.7880016242473,1098.7529828086163,-498.6183935869643,338.5378405206933,-7.663345513719833e-10,-464.3694205781394,565.751406442207,413.09683638573574,353.84739257104565
c,-476.4873317167841,-502.2285993829965,-1980.4202645200671,507.64131725489125,-520.3949282049385,-520.3949282124706,604.8819114355778,-697.1373807876869,688.1613888394432,31.2932455905332,-281.02826252383966,-492.1557599331363,1096.4983484808354,-497.6700375182312,338.5378405206933,-7.663345513719833e-10,-463.421058038135,-1432.2930665323374,253.89311532972226,-958.4706191991886
healthy,280.3706552394261,478.20021115809186,0.013910414228462287,23.30743079196796,358.237000256034,358.237000258184,-626.763303068046,265.34089815506536,-307.55805812708047,154.64732956259513,331.37045798790695,168.29717595546074,-868.6377789287037,482.8212949187315,338.5378405206933,-7.663345513719833e-10,517.0702679289268,566.3387921886265,251.62004868515587,581.0340343290499
healthy,-122.71956677907797,-477.3431586789091,0.012049627504552518,230.97482848981664,-466.53651628205705,-466.53651629336537,-617.9068802758055,-724.0177707621776,688.1613888394432,315.0759962565439,-262.47441512718945,-475.52378917590806,-76.08802669542371,-472.7220749168397,338.5378405206933,-7.663345513719833e-10,-438.47310190725693,-1432.4437341443038,250.3445185346827,-959.1875813465384
