framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,384,2,0.008476799726486206
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,384,1,0.003977600112557411
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,384,1,0.007926400005817413
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,512,128,0.03300159871578216
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,512,64,0.018768000602722167
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,512,128,0.12413439750671387
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,512,64,0.06728320121765137
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,512,32,0.009494400024414063
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,512,16,0.0069472000002861025
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,512,16,0.021212799847126006
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,512,32,0.03527039885520935
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,512,8,0.005126399919390678
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,512,8,0.014547200500965118
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,512,4,0.0046271998435258865
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,512,4,0.010921599715948105
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,512,2,0.004163200035691261
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,512,2,0.009065599739551544
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,512,1,0.003913599997758865
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,512,1,0.008275199681520462
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,float16,768,128,0.04451520144939423
SGLang,0.5.6.post2,NVIDIA H200,mla_gen_pre,default,fp8,768,128,0.1823359966278076
