hcc,is_chronic,model_version,model_domain
HCC56,Y,V21,CMS-HCC ESRD
HCC57,Y,V21,CMS-HCC ESRD
HCC58,Y,V21,CMS-HCC ESRD
HCC59,,V21,CMS-HCC ESRD
HCC60,Y,V21,CMS-HCC ESRD
HCC61,Y,V21,CMS-HCC ESRD
HCC62,Y,V21,CMS-HCC ESRD
HCC63,Y,V21,CMS-HCC ESRD
HCC64,Y,V21,CMS-HCC ESRD
HCC65,Y,V21,CMS-HCC ESRD
HCC66,Y,V21,CMS-HCC ESRD
HCC67,Y,V21,CMS-HCC ESRD
HCC68,Y,V21,CMS-HCC ESRD
HCC69,Y,V21,CMS-HCC ESRD
HCC70,Y,V21,CMS-HCC ESRD
HCC71,Y,V21,CMS-HCC ESRD
HCC72,Y,V21,CMS-HCC ESRD
HCC73,Y,V21,CMS-HCC ESRD
HCC74,Y,V21,CMS-HCC ESRD
HCC75,Y,V21,CMS-HCC ESRD
HCC76,Y,V21,CMS-HCC ESRD
HCC77,Y,V21,CMS-HCC ESRD
HCC78,Y,V21,CMS-HCC ESRD
HCC79,Y,V21,CMS-HCC ESRD
HCC80,Y,V21,CMS-HCC ESRD
HCC81,Y,V21,CMS-HCC ESRD
HCC82,Y,V21,CMS-HCC ESRD
HCC83,,V21,CMS-HCC ESRD
HCC84,,V21,CMS-HCC ESRD
HCC85,Y,V21,CMS-HCC ESRD
HCC86,Y,V21,CMS-HCC ESRD
HCC87,Y,V21,CMS-HCC ESRD
HCC88,Y,V21,CMS-HCC ESRD
HCC89,Y,V21,CMS-HCC ESRD
HCC90,,V21,CMS-HCC ESRD
HCC91,Y,V21,CMS-HCC ESRD
HCC92,Y,V21,CMS-HCC ESRD
HCC93,Y,V21,CMS-HCC ESRD
HCC94,Y,V21,CMS-HCC ESRD
HCC95,Y,V21,CMS-HCC ESRD
HCC96,Y,V21,CMS-HCC ESRD
HCC97,Y,V21,CMS-HCC ESRD
HCC98,Y,V21,CMS-HCC ESRD
HCC99,Y,V21,CMS-HCC ESRD
HCC100,Y,V21,CMS-HCC ESRD
HCC101,Y,V21,CMS-HCC ESRD
HCC102,Y,V21,CMS-HCC ESRD
HCC103,Y,V21,CMS-HCC ESRD
HCC104,Y,V21,CMS-HCC ESRD
HCC105,Y,V21,CMS-HCC ESRD
HCC106,Y,V21,CMS-HCC ESRD
HCC107,,V21,CMS-HCC ESRD
HCC108,Y,V21,CMS-HCC ESRD
HCC109,,V21,CMS-HCC ESRD
HCC110,Y,V21,CMS-HCC ESRD
HCC111,Y,V21,CMS-HCC ESRD
HCC112,Y,V21,CMS-HCC ESRD
HCC113,Y,V21,CMS-HCC ESRD
HCC114,,V21,CMS-HCC ESRD
HCC115,,V21,CMS-HCC ESRD
HCC116,,V21,CMS-HCC ESRD
HCC117,,V21,CMS-HCC ESRD
HCC118,,V21,CMS-HCC ESRD
HCC119,Y,V21,CMS-HCC ESRD
HCC120,,V21,CMS-HCC ESRD
HCC121,,V21,CMS-HCC ESRD
HCC122,Y,V21,CMS-HCC ESRD
HCC123,Y,V21,CMS-HCC ESRD
HCC124,Y,V21,CMS-HCC ESRD
HCC125,Y,V21,CMS-HCC ESRD
HCC126,Y,V21,CMS-HCC ESRD
HCC127,Y,V21,CMS-HCC ESRD
HCC128,,V21,CMS-HCC ESRD
HCC129,,V21,CMS-HCC ESRD
HCC130,Y,V21,CMS-HCC ESRD
HCC131,,V21,CMS-HCC ESRD
HCC132,Y,V21,CMS-HCC ESRD
HCC133,Y,V21,CMS-HCC ESRD
HCC134,Y,V21,CMS-HCC ESRD
HCC135,,V21,CMS-HCC ESRD
HCC136,Y,V21,CMS-HCC ESRD
HCC137,Y,V21,CMS-HCC ESRD
HCC138,Y,V21,CMS-HCC ESRD
HCC139,Y,V21,CMS-HCC ESRD
HCC140,Y,V21,CMS-HCC ESRD
HCC141,Y,V21,CMS-HCC ESRD
HCC142,,V21,CMS-HCC ESRD
HCC143,Y,V21,CMS-HCC ESRD
HCC144,,V21,CMS-HCC ESRD
HCC145,,V21,CMS-HCC ESRD
HCC146,Y,V21,CMS-HCC ESRD
HCC147,Y,V21,CMS-HCC ESRD
HCC148,Y,V21,CMS-HCC ESRD
HCC149,Y,V21,CMS-HCC ESRD
HCC150,,V21,CMS-HCC ESRD
HCC151,,V21,CMS-HCC ESRD
HCC152,,V21,CMS-HCC ESRD
HCC153,,V21,CMS-HCC ESRD
HCC154,,V21,CMS-HCC ESRD
HCC155,,V21,CMS-HCC ESRD
HCC156,,V21,CMS-HCC ESRD
HCC157,Y,V21,CMS-HCC ESRD
HCC158,Y,V21,CMS-HCC ESRD
HCC159,Y,V21,CMS-HCC ESRD
HCC160,Y,V21,CMS-HCC ESRD
HCC161,Y,V21,CMS-HCC ESRD
HCC162,,V21,CMS-HCC ESRD
HCC163,,V21,CMS-HCC ESRD
HCC164,,V21,CMS-HCC ESRD
HCC165,,V21,CMS-HCC ESRD
HCC166,,V21,CMS-HCC ESRD
HCC167,,V21,CMS-HCC ESRD
HCC168,,V21,CMS-HCC ESRD
HCC169,,V21,CMS-HCC ESRD
HCC170,,V21,CMS-HCC ESRD
HCC171,,V21,CMS-HCC ESRD
HCC172,,V21,CMS-HCC ESRD
HCC173,,V21,CMS-HCC ESRD
HCC174,,V21,CMS-HCC ESRD
HCC175,,V21,CMS-HCC ESRD
HCC176,,V21,CMS-HCC ESRD
HCC177,,V21,CMS-HCC ESRD
HCC178,,V21,CMS-HCC ESRD
HCC179,,V21,CMS-HCC ESRD
HCC180,Y,V21,CMS-HCC ESRD
HCC181,Y,V21,CMS-HCC ESRD
HCC182,Y,V21,CMS-HCC ESRD
HCC183,,V21,CMS-HCC ESRD
HCC184,Y,V21,CMS-HCC ESRD
HCC185,Y,V21,CMS-HCC ESRD
HCC186,Y,V21,CMS-HCC ESRD
HCC187,Y,V21,CMS-HCC ESRD
HCC188,Y,V21,CMS-HCC ESRD
HCC189,Y,V21,CMS-HCC ESRD
HCC190,,V21,CMS-HCC ESRD
HCC191,,V21,CMS-HCC ESRD
HCC192,,V21,CMS-HCC ESRD
HCC193,,V21,CMS-HCC ESRD
HCC194,,V21,CMS-HCC ESRD
HCC195,,V21,CMS-HCC ESRD
HCC196,,V21,CMS-HCC ESRD
HCC197,,V21,CMS-HCC ESRD
HCC198,,V21,CMS-HCC ESRD
HCC199,,V21,CMS-HCC ESRD
HCC200,,V21,CMS-HCC ESRD
HCC201,,V21,CMS-HCC ESRD
HCC1,Y,V24,CMS-HCC ESRD
HCC2,,V24,CMS-HCC ESRD
HCC3,,V24,CMS-HCC ESRD
HCC4,,V24,CMS-HCC ESRD
HCC5,,V24,CMS-HCC ESRD
HCC6,,V24,CMS-HCC ESRD
HCC7,,V24,CMS-HCC ESRD
HCC8,Y,V24,CMS-HCC ESRD
HCC9,Y,V24,CMS-HCC ESRD
HCC10,Y,V24,CMS-HCC ESRD
HCC11,Y,V24,CMS-HCC ESRD
HCC12,Y,V24,CMS-HCC ESRD
HCC13,,V24,CMS-HCC ESRD
HCC14,,V24,CMS-HCC ESRD
HCC15,,V24,CMS-HCC ESRD
HCC16,,V24,CMS-HCC ESRD
HCC17,Y,V24,CMS-HCC ESRD
HCC18,Y,V24,CMS-HCC ESRD
HCC19,Y,V24,CMS-HCC ESRD
HCC20,Y,V24,CMS-HCC ESRD
HCC21,,V24,CMS-HCC ESRD
HCC22,Y,V24,CMS-HCC ESRD
HCC23,Y,V24,CMS-HCC ESRD
HCC24,,V24,CMS-HCC ESRD
HCC25,Y,V24,CMS-HCC ESRD
HCC26,Y,V24,CMS-HCC ESRD
HCC27,Y,V24,CMS-HCC ESRD
HCC28,Y,V24,CMS-HCC ESRD
HCC29,Y,V24,CMS-HCC ESRD
HCC30,,V24,CMS-HCC ESRD
HCC31,Y,V24,CMS-HCC ESRD
HCC32,,V24,CMS-HCC ESRD
HCC33,,V24,CMS-HCC ESRD
HCC34,Y,V24,CMS-HCC ESRD
HCC35,Y,V24,CMS-HCC ESRD
HCC36,,V24,CMS-HCC ESRD
HCC37,,V24,CMS-HCC ESRD
HCC38,,V24,CMS-HCC ESRD
HCC39,,V24,CMS-HCC ESRD
HCC40,Y,V24,CMS-HCC ESRD
HCC41,Y,V24,CMS-HCC ESRD
HCC42,Y,V24,CMS-HCC ESRD
HCC43,Y,V24,CMS-HCC ESRD
HCC44,Y,V24,CMS-HCC ESRD
HCC45,,V24,CMS-HCC ESRD
HCC46,Y,V24,CMS-HCC ESRD
HCC47,Y,V24,CMS-HCC ESRD
HCC48,Y,V24,CMS-HCC ESRD
HCC49,,V24,CMS-HCC ESRD
HCC50,,V24,CMS-HCC ESRD
HCC51,Y,V24,CMS-HCC ESRD
HCC52,Y,V24,CMS-HCC ESRD
HCC53,Y,V24,CMS-HCC ESRD
HCC54,Y,V24,CMS-HCC ESRD
HCC55,Y,V24,CMS-HCC ESRD
HCC56,Y,V24,CMS-HCC ESRD
HCC57,Y,V24,CMS-HCC ESRD
HCC58,,V24,CMS-HCC ESRD
HCC59,Y,V24,CMS-HCC ESRD
HCC60,Y,V24,CMS-HCC ESRD
HCC61,Y,V24,CMS-HCC ESRD
HCC62,Y,V24,CMS-HCC ESRD
HCC63,Y,V24,CMS-HCC ESRD
HCC64,Y,V24,CMS-HCC ESRD
HCC65,Y,V24,CMS-HCC ESRD
HCC66,Y,V24,CMS-HCC ESRD
HCC67,Y,V24,CMS-HCC ESRD
HCC68,Y,V24,CMS-HCC ESRD
HCC69,Y,V24,CMS-HCC ESRD
HCC70,Y,V24,CMS-HCC ESRD
HCC71,Y,V24,CMS-HCC ESRD
HCC72,Y,V24,CMS-HCC ESRD
HCC73,Y,V24,CMS-HCC ESRD
HCC74,Y,V24,CMS-HCC ESRD
HCC75,Y,V24,CMS-HCC ESRD
HCC76,Y,V24,CMS-HCC ESRD
HCC77,Y,V24,CMS-HCC ESRD
HCC78,Y,V24,CMS-HCC ESRD
HCC79,Y,V24,CMS-HCC ESRD
HCC80,Y,V24,CMS-HCC ESRD
HCC81,Y,V24,CMS-HCC ESRD
HCC82,Y,V24,CMS-HCC ESRD
HCC83,,V24,CMS-HCC ESRD
HCC84,,V24,CMS-HCC ESRD
HCC85,Y,V24,CMS-HCC ESRD
HCC86,Y,V24,CMS-HCC ESRD
HCC87,Y,V24,CMS-HCC ESRD
HCC88,Y,V24,CMS-HCC ESRD
HCC89,Y,V24,CMS-HCC ESRD
HCC90,,V24,CMS-HCC ESRD
HCC91,Y,V24,CMS-HCC ESRD
HCC92,Y,V24,CMS-HCC ESRD
HCC93,Y,V24,CMS-HCC ESRD
HCC94,Y,V24,CMS-HCC ESRD
HCC95,Y,V24,CMS-HCC ESRD
HCC96,Y,V24,CMS-HCC ESRD
HCC97,Y,V24,CMS-HCC ESRD
HCC98,Y,V24,CMS-HCC ESRD
HCC99,Y,V24,CMS-HCC ESRD
HCC100,Y,V24,CMS-HCC ESRD
HCC101,Y,V24,CMS-HCC ESRD
HCC102,Y,V24,CMS-HCC ESRD
HCC103,Y,V24,CMS-HCC ESRD
HCC104,Y,V24,CMS-HCC ESRD
HCC105,Y,V24,CMS-HCC ESRD
HCC106,Y,V24,CMS-HCC ESRD
HCC107,,V24,CMS-HCC ESRD
HCC108,Y,V24,CMS-HCC ESRD
HCC109,,V24,CMS-HCC ESRD
HCC110,Y,V24,CMS-HCC ESRD
HCC111,Y,V24,CMS-HCC ESRD
HCC112,Y,V24,CMS-HCC ESRD
HCC113,Y,V24,CMS-HCC ESRD
HCC114,,V24,CMS-HCC ESRD
HCC115,,V24,CMS-HCC ESRD
HCC116,,V24,CMS-HCC ESRD
HCC117,,V24,CMS-HCC ESRD
HCC118,,V24,CMS-HCC ESRD
HCC119,Y,V24,CMS-HCC ESRD
HCC120,,V24,CMS-HCC ESRD
HCC121,,V24,CMS-HCC ESRD
HCC122,Y,V24,CMS-HCC ESRD
HCC123,Y,V24,CMS-HCC ESRD
HCC124,Y,V24,CMS-HCC ESRD
HCC125,Y,V24,CMS-HCC ESRD
HCC126,Y,V24,CMS-HCC ESRD
HCC127,Y,V24,CMS-HCC ESRD
HCC128,,V24,CMS-HCC ESRD
HCC129,,V24,CMS-HCC ESRD
HCC130,Y,V24,CMS-HCC ESRD
HCC131,,V24,CMS-HCC ESRD
HCC132,Y,V24,CMS-HCC ESRD
HCC133,Y,V24,CMS-HCC ESRD
HCC134,Y,V24,CMS-HCC ESRD
HCC135,,V24,CMS-HCC ESRD
HCC136,Y,V24,CMS-HCC ESRD
HCC137,Y,V24,CMS-HCC ESRD
HCC138,Y,V24,CMS-HCC ESRD
HCC139,Y,V24,CMS-HCC ESRD
HCC140,Y,V24,CMS-HCC ESRD
HCC141,Y,V24,CMS-HCC ESRD
HCC142,,V24,CMS-HCC ESRD
HCC143,Y,V24,CMS-HCC ESRD
HCC144,,V24,CMS-HCC ESRD
HCC145,,V24,CMS-HCC ESRD
HCC146,Y,V24,CMS-HCC ESRD
HCC147,Y,V24,CMS-HCC ESRD
HCC148,Y,V24,CMS-HCC ESRD
HCC149,Y,V24,CMS-HCC ESRD
HCC150,,V24,CMS-HCC ESRD
HCC151,,V24,CMS-HCC ESRD
HCC152,,V24,CMS-HCC ESRD
HCC153,,V24,CMS-HCC ESRD
HCC154,,V24,CMS-HCC ESRD
HCC155,,V24,CMS-HCC ESRD
HCC156,,V24,CMS-HCC ESRD
HCC157,Y,V24,CMS-HCC ESRD
HCC158,Y,V24,CMS-HCC ESRD
HCC159,Y,V24,CMS-HCC ESRD
HCC160,Y,V24,CMS-HCC ESRD
HCC161,Y,V24,CMS-HCC ESRD
HCC162,,V24,CMS-HCC ESRD
HCC163,,V24,CMS-HCC ESRD
HCC164,,V24,CMS-HCC ESRD
HCC165,,V24,CMS-HCC ESRD
HCC166,,V24,CMS-HCC ESRD
HCC167,,V24,CMS-HCC ESRD
HCC168,,V24,CMS-HCC ESRD
HCC169,,V24,CMS-HCC ESRD
HCC170,,V24,CMS-HCC ESRD
HCC171,,V24,CMS-HCC ESRD
HCC172,,V24,CMS-HCC ESRD
HCC173,,V24,CMS-HCC ESRD
HCC174,,V24,CMS-HCC ESRD
HCC175,,V24,CMS-HCC ESRD
HCC176,,V24,CMS-HCC ESRD
HCC177,,V24,CMS-HCC ESRD
HCC178,,V24,CMS-HCC ESRD
HCC179,,V24,CMS-HCC ESRD
HCC180,Y,V24,CMS-HCC ESRD
HCC181,Y,V24,CMS-HCC ESRD
HCC182,Y,V24,CMS-HCC ESRD
HCC183,,V24,CMS-HCC ESRD
HCC184,Y,V24,CMS-HCC ESRD
HCC185,Y,V24,CMS-HCC ESRD
HCC186,Y,V24,CMS-HCC ESRD
HCC187,Y,V24,CMS-HCC ESRD
HCC188,Y,V24,CMS-HCC ESRD
HCC189,Y,V24,CMS-HCC ESRD
HCC190,,V24,CMS-HCC ESRD
HCC191,,V24,CMS-HCC ESRD
HCC192,,V24,CMS-HCC ESRD
HCC193,,V24,CMS-HCC ESRD
HCC194,,V24,CMS-HCC ESRD
HCC195,,V24,CMS-HCC ESRD
HCC196,,V24,CMS-HCC ESRD
HCC197,,V24,CMS-HCC ESRD
HCC198,,V24,CMS-HCC ESRD
HCC199,,V24,CMS-HCC ESRD
HCC200,,V24,CMS-HCC ESRD
HCC201,,V24,CMS-HCC ESRD
HCC202,,V24,CMS-HCC ESRD
HCC203,Y,V24,CMS-HCC ESRD
HCC204,,V24,CMS-HCC ESRD
HCC1,Y,V24,CMS-HCC
HCC2,,V24,CMS-HCC
HCC3,,V24,CMS-HCC
HCC4,,V24,CMS-HCC
HCC5,,V24,CMS-HCC
HCC6,,V24,CMS-HCC
HCC7,,V24,CMS-HCC
HCC8,Y,V24,CMS-HCC
HCC9,Y,V24,CMS-HCC
HCC10,Y,V24,CMS-HCC
HCC11,Y,V24,CMS-HCC
HCC12,Y,V24,CMS-HCC
HCC13,,V24,CMS-HCC
HCC14,,V24,CMS-HCC
HCC15,,V24,CMS-HCC
HCC16,,V24,CMS-HCC
HCC17,Y,V24,CMS-HCC
HCC18,Y,V24,CMS-HCC
HCC19,Y,V24,CMS-HCC
HCC20,Y,V24,CMS-HCC
HCC21,,V24,CMS-HCC
HCC22,Y,V24,CMS-HCC
HCC23,Y,V24,CMS-HCC
HCC24,,V24,CMS-HCC
HCC25,Y,V24,CMS-HCC
HCC26,Y,V24,CMS-HCC
HCC27,Y,V24,CMS-HCC
HCC28,Y,V24,CMS-HCC
HCC29,Y,V24,CMS-HCC
HCC30,,V24,CMS-HCC
HCC31,Y,V24,CMS-HCC
HCC32,,V24,CMS-HCC
HCC33,,V24,CMS-HCC
HCC34,Y,V24,CMS-HCC
HCC35,Y,V24,CMS-HCC
HCC36,,V24,CMS-HCC
HCC37,,V24,CMS-HCC
HCC38,,V24,CMS-HCC
HCC39,,V24,CMS-HCC
HCC40,Y,V24,CMS-HCC
HCC41,Y,V24,CMS-HCC
HCC42,Y,V24,CMS-HCC
HCC43,Y,V24,CMS-HCC
HCC44,Y,V24,CMS-HCC
HCC45,,V24,CMS-HCC
HCC46,Y,V24,CMS-HCC
HCC47,Y,V24,CMS-HCC
HCC48,Y,V24,CMS-HCC
HCC49,,V24,CMS-HCC
HCC50,,V24,CMS-HCC
HCC51,Y,V24,CMS-HCC
HCC52,Y,V24,CMS-HCC
HCC53,Y,V24,CMS-HCC
HCC54,Y,V24,CMS-HCC
HCC55,Y,V24,CMS-HCC
HCC56,Y,V24,CMS-HCC
HCC57,Y,V24,CMS-HCC
HCC58,,V24,CMS-HCC
HCC59,Y,V24,CMS-HCC
HCC60,Y,V24,CMS-HCC
HCC61,Y,V24,CMS-HCC
HCC62,Y,V24,CMS-HCC
HCC63,Y,V24,CMS-HCC
HCC64,Y,V24,CMS-HCC
HCC65,Y,V24,CMS-HCC
HCC66,Y,V24,CMS-HCC
HCC67,Y,V24,CMS-HCC
HCC68,Y,V24,CMS-HCC
HCC69,Y,V24,CMS-HCC
HCC70,Y,V24,CMS-HCC
HCC71,Y,V24,CMS-HCC
HCC72,Y,V24,CMS-HCC
HCC73,Y,V24,CMS-HCC
HCC74,Y,V24,CMS-HCC
HCC75,Y,V24,CMS-HCC
HCC76,Y,V24,CMS-HCC
HCC77,Y,V24,CMS-HCC
HCC78,Y,V24,CMS-HCC
HCC79,Y,V24,CMS-HCC
HCC80,Y,V24,CMS-HCC
HCC81,Y,V24,CMS-HCC
HCC82,Y,V24,CMS-HCC
HCC83,,V24,CMS-HCC
HCC84,,V24,CMS-HCC
HCC85,Y,V24,CMS-HCC
HCC86,Y,V24,CMS-HCC
HCC87,Y,V24,CMS-HCC
HCC88,Y,V24,CMS-HCC
HCC89,Y,V24,CMS-HCC
HCC90,,V24,CMS-HCC
HCC91,Y,V24,CMS-HCC
HCC92,Y,V24,CMS-HCC
HCC93,Y,V24,CMS-HCC
HCC94,Y,V24,CMS-HCC
HCC95,Y,V24,CMS-HCC
HCC96,Y,V24,CMS-HCC
HCC97,Y,V24,CMS-HCC
HCC98,Y,V24,CMS-HCC
HCC99,Y,V24,CMS-HCC
HCC100,Y,V24,CMS-HCC
HCC101,Y,V24,CMS-HCC
HCC102,Y,V24,CMS-HCC
HCC103,Y,V24,CMS-HCC
HCC104,Y,V24,CMS-HCC
HCC105,Y,V24,CMS-HCC
HCC106,Y,V24,CMS-HCC
HCC107,,V24,CMS-HCC
HCC108,Y,V24,CMS-HCC
HCC109,,V24,CMS-HCC
HCC110,Y,V24,CMS-HCC
HCC111,Y,V24,CMS-HCC
HCC112,Y,V24,CMS-HCC
HCC113,Y,V24,CMS-HCC
HCC114,,V24,CMS-HCC
HCC115,,V24,CMS-HCC
HCC116,,V24,CMS-HCC
HCC117,,V24,CMS-HCC
HCC118,,V24,CMS-HCC
HCC119,Y,V24,CMS-HCC
HCC120,,V24,CMS-HCC
HCC121,,V24,CMS-HCC
HCC122,Y,V24,CMS-HCC
HCC123,Y,V24,CMS-HCC
HCC124,Y,V24,CMS-HCC
HCC125,Y,V24,CMS-HCC
HCC126,Y,V24,CMS-HCC
HCC127,Y,V24,CMS-HCC
HCC128,,V24,CMS-HCC
HCC129,,V24,CMS-HCC
HCC130,Y,V24,CMS-HCC
HCC131,,V24,CMS-HCC
HCC132,Y,V24,CMS-HCC
HCC133,Y,V24,CMS-HCC
HCC134,Y,V24,CMS-HCC
HCC135,,V24,CMS-HCC
HCC136,Y,V24,CMS-HCC
HCC137,Y,V24,CMS-HCC
HCC138,Y,V24,CMS-HCC
HCC139,Y,V24,CMS-HCC
HCC140,Y,V24,CMS-HCC
HCC141,Y,V24,CMS-HCC
HCC142,,V24,CMS-HCC
HCC143,Y,V24,CMS-HCC
HCC144,,V24,CMS-HCC
HCC145,,V24,CMS-HCC
HCC146,Y,V24,CMS-HCC
HCC147,Y,V24,CMS-HCC
HCC148,Y,V24,CMS-HCC
HCC149,Y,V24,CMS-HCC
HCC150,,V24,CMS-HCC
HCC151,,V24,CMS-HCC
HCC152,,V24,CMS-HCC
HCC153,,V24,CMS-HCC
HCC154,,V24,CMS-HCC
HCC155,,V24,CMS-HCC
HCC156,,V24,CMS-HCC
HCC157,Y,V24,CMS-HCC
HCC158,Y,V24,CMS-HCC
HCC159,Y,V24,CMS-HCC
HCC160,Y,V24,CMS-HCC
HCC161,Y,V24,CMS-HCC
HCC162,,V24,CMS-HCC
HCC163,,V24,CMS-HCC
HCC164,,V24,CMS-HCC
HCC165,,V24,CMS-HCC
HCC166,,V24,CMS-HCC
HCC167,,V24,CMS-HCC
HCC168,,V24,CMS-HCC
HCC169,,V24,CMS-HCC
HCC170,,V24,CMS-HCC
HCC171,,V24,CMS-HCC
HCC172,,V24,CMS-HCC
HCC173,,V24,CMS-HCC
HCC174,,V24,CMS-HCC
HCC175,,V24,CMS-HCC
HCC176,,V24,CMS-HCC
HCC177,,V24,CMS-HCC
HCC178,,V24,CMS-HCC
HCC179,,V24,CMS-HCC
HCC180,Y,V24,CMS-HCC
HCC181,Y,V24,CMS-HCC
HCC182,Y,V24,CMS-HCC
HCC183,,V24,CMS-HCC
HCC184,Y,V24,CMS-HCC
HCC185,Y,V24,CMS-HCC
HCC186,Y,V24,CMS-HCC
HCC187,Y,V24,CMS-HCC
HCC188,Y,V24,CMS-HCC
HCC189,Y,V24,CMS-HCC
HCC190,,V24,CMS-HCC
HCC191,,V24,CMS-HCC
HCC192,,V24,CMS-HCC
HCC193,,V24,CMS-HCC
HCC194,,V24,CMS-HCC
HCC195,,V24,CMS-HCC
HCC196,,V24,CMS-HCC
HCC197,,V24,CMS-HCC
HCC198,,V24,CMS-HCC
HCC199,,V24,CMS-HCC
HCC200,,V24,CMS-HCC
HCC201,,V24,CMS-HCC
HCC202,,V24,CMS-HCC
HCC203,Y,V24,CMS-HCC
HCC204,,V24,CMS-HCC
HCC1,Y,V28,CMS-HCC
HCC2,,V28,CMS-HCC
HCC3,,V28,CMS-HCC
HCC4,,V28,CMS-HCC
HCC5,,V28,CMS-HCC
HCC6,,V28,CMS-HCC
HCC7,,V28,CMS-HCC
HCC8,,V28,CMS-HCC
HCC9,,V28,CMS-HCC
HCC17,Y,V28,CMS-HCC
HCC18,Y,V28,CMS-HCC
HCC19,Y,V28,CMS-HCC
HCC20,Y,V28,CMS-HCC
HCC21,Y,V28,CMS-HCC
HCC22,Y,V28,CMS-HCC
HCC23,Y,V28,CMS-HCC
HCC24,,V28,CMS-HCC
HCC25,,V28,CMS-HCC
HCC26,,V28,CMS-HCC
HCC27,,V28,CMS-HCC
HCC35,Y,V28,CMS-HCC
HCC36,Y,V28,CMS-HCC
HCC37,Y,V28,CMS-HCC
HCC38,Y,V28,CMS-HCC
HCC39,Y,V28,CMS-HCC
HCC47,,V28,CMS-HCC
HCC48,Y,V28,CMS-HCC
HCC49,Y,V28,CMS-HCC
HCC50,Y,V28,CMS-HCC
HCC51,Y,V28,CMS-HCC
HCC52,,V28,CMS-HCC
HCC53,Y,V28,CMS-HCC
HCC54,Y,V28,CMS-HCC
HCC62,Y,V28,CMS-HCC
HCC63,Y,V28,CMS-HCC
HCC64,Y,V28,CMS-HCC
HCC65,Y,V28,CMS-HCC
HCC66,,V28,CMS-HCC
HCC67,Y,V28,CMS-HCC
HCC68,,V28,CMS-HCC
HCC69,,V28,CMS-HCC
HCC77,Y,V28,CMS-HCC
HCC78,,V28,CMS-HCC
HCC79,Y,V28,CMS-HCC
HCC80,Y,V28,CMS-HCC
HCC81,Y,V28,CMS-HCC
HCC82,,V28,CMS-HCC
HCC83,,V28,CMS-HCC
HCC84,,V28,CMS-HCC
HCC92,,V28,CMS-HCC
HCC93,Y,V28,CMS-HCC
HCC94,Y,V28,CMS-HCC
HCC95,Y,V28,CMS-HCC
HCC96,Y,V28,CMS-HCC
HCC97,Y,V28,CMS-HCC
HCC98,Y,V28,CMS-HCC
HCC99,,V28,CMS-HCC
HCC107,Y,V28,CMS-HCC
HCC108,Y,V28,CMS-HCC
HCC109,Y,V28,CMS-HCC
HCC110,Y,V28,CMS-HCC
HCC111,Y,V28,CMS-HCC
HCC112,Y,V28,CMS-HCC
HCC113,,V28,CMS-HCC
HCC114,Y,V28,CMS-HCC
HCC115,Y,V28,CMS-HCC
HCC116,,V28,CMS-HCC
HCC124,,V28,CMS-HCC
HCC125,Y,V28,CMS-HCC
