Date : 2026-01-14 17:53:37
Directory : /Users/timkitchens/projects/ai-projects/rag-memory
Total : 395 files,  90342 codes, 6471 comments, 17040 blanks, all 113853 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| migrations/archive                                                                                                            |          2 |         49 |         20 |         11 |         80 |
| scripts                                                                                                                       |         12 |      6,029 |        605 |      1,663 |      8,297 |
| test-data                                                                                                                     |          3 |        462 |         28 |        108 |        598 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                      | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/alembic.ini                                                        | Ini              |         93 |          0 |         25 |        118 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/alembic/env.py                                                     | Python           |         55 |         14 |         25 |         94 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/alembic/versions/209efbed60a4_add_langgraph_checkpointer_tables.py | Python           |         47 |          6 |         13 |         66 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/alembic/versions/eb0488e04b85_initial_schema.py                    | Python           |         50 |          5 |         10 |         65 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/alembic/versions/f72298d0b136_add_is_pinned_to_conversations.py    | Python           |         17 |          3 |          9 |         29 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/__init__.py                                                    | Python           |          1 |          0 |          1 |          2 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/config.py                                                      | Python           |         35 |          9 |         16 |         60 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/database.py                                                    | Python           |         36 |          3 |         11 |         50 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/main.py                                                        | Python           |         47 |          9 |         18 |         74 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/rag/__init__.py                                                | Python           |          0 |          0 |          1 |          1 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/rag/mcp_proxy.py                                               | Python           |        376 |         51 |         81 |        508 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/rag/models.py                                                  | Python           |         32 |          2 |         16 |         50 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/rag/router.py                                                  | Python           |        287 |         23 |         77 |        387 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/rag/schemas.py                                                 | Python           |         72 |          5 |         35 |        112 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/rag_agent/__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/rag_agent/agent.py                                             | Python           |         91 |         15 |         34 |        140 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/rag_agent/prompts.py                                           | Python           |        154 |         14 |         65 |        233 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/shared/__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/shared/agent_factory.py                                        | Python           |         35 |          2 |         18 |         55 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/shared/chat_bridge.py                                          | Python           |        572 |         83 |        151 |        806 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/shared/checkpointer.py                                         | Python           |         28 |          6 |         15 |         49 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/tools/__init__.py                                              | Python           |          8 |          0 |          4 |         12 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/tools/search_tools.py                                          | Python           |        479 |         31 |        126 |        636 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/app/tools/ui_tools.py                                              | Python           |         93 |          3 |         17 |        113 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/inspect_checkpointer_schema.py                                     | Python           |         39 |          2 |          9 |         50 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/scripts/setup_langgraph_schema.py                                  | Python           |         49 |          9 |         19 |         77 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/seed_data.py                                                       | Python           |         98 |          5 |         21 |        124 |
| /Users/timkitchens/projects/ai-projects/rag-memory/backend/test_endpoints.py                                                  | Python           |        313 |         50 |         51 |        414 |
| /Users/timkitchens/projects/ai-projects/rag-memory/config/config.example.yaml                                                 | YAML             |         15 |         26 |          8 |         49 |
| /Users/timkitchens/projects/ai-projects/rag-memory/config/config.local.yaml                                                   | YAML             |         13 |         47 |         11 |         71 |
| /Users/timkitchens/projects/ai-projects/rag-memory/config/config.test.yaml                                                    | YAML             |         11 |         18 |          8 |         37 |
| /Users/timkitchens/projects/ai-projects/rag-memory/config/config.yaml                                                         | YAML             |          9 |         18 |          7 |         34 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/alembic/alembic.ini                                                 | Ini              |        122 |          0 |         27 |        149 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/alembic/env.py                                                      | Python           |         56 |         16 |         23 |         95 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/alembic/versions/001_baseline_fresh_schema.py                       | Python           |        111 |         16 |         27 |        154 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/alembic/versions/002_add_trust_system.py                            | Python           |        109 |         25 |         34 |        168 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/alembic/versions/003_add_evaluation_system.py                       | Python           |        162 |         40 |         42 |        244 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/alembic/versions/004_rename_topic_used_to_topic_provided.py         | Python           |         20 |          1 |         10 |         31 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/alembic/versions/005_add_content_hash.py                            | Python           |         36 |          5 |         13 |         54 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/docker/Dockerfile                                                   | Docker           |         23 |         18 |         13 |         54 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/docker/compose/docker-compose.dev.yml                               | YAML             |         73 |         33 |          8 |        114 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/docker/compose/docker-compose.instance.yml                          | YAML             |        131 |         47 |          8 |        186 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/docker/compose/docker-compose.template.yml                          | YAML             |        129 |         36 |          8 |        173 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/docker/compose/docker-compose.test.yml                              | YAML             |         75 |         51 |          9 |        135 |
| /Users/timkitchens/projects/ai-projects/rag-memory/deploy/docker/init.sql                                                     | SQLite           |         88 |         27 |         13 |        128 |
| /Users/timkitchens/projects/ai-projects/rag-memory/docker-compose.web.yml                                                     | YAML             |         24 |          1 |          3 |         28 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/docker-compose.web.yml                                            | YAML             |         22 |          0 |          3 |         25 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/index.html                                                        | HTML             |         13 |          0 |          1 |         14 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/mockup-v2.html                                                    | HTML             |      2,218 |         35 |        332 |      2,585 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/App.tsx                                                       | TypeScript JSX   |         12 |          2 |          6 |         20 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/main.tsx                                                      | TypeScript JSX   |         22 |          3 |          5 |         30 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/api.ts                                                    | TypeScript       |        103 |         11 |         23 |        137 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/ChatInput.tsx                                  | TypeScript JSX   |        232 |         17 |         30 |        279 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/CollectionBrowser.tsx                          | TypeScript JSX   |        792 |         40 |         64 |        896 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/ConversationSidebar.tsx                        | TypeScript JSX   |        564 |         36 |         45 |        645 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/DocumentModal.tsx                              | TypeScript JSX   |        544 |         29 |         21 |        594 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/KnowledgeGraphView.tsx                         | TypeScript JSX   |        146 |          5 |         10 |        161 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/LinkifiedContent.tsx                           | TypeScript JSX   |        175 |         46 |         28 |        249 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/MessageBubble.tsx                              | TypeScript JSX   |        143 |         31 |         16 |        190 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/MessageList.tsx                                | TypeScript JSX   |        126 |         12 |         15 |        153 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/SearchResults.tsx                              | TypeScript JSX   |         87 |          7 |         10 |        104 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/StarterPrompts.tsx                             | TypeScript JSX   |         86 |          9 |         11 |        106 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/TemporalTimeline.tsx                           | TypeScript JSX   |         63 |          7 |          9 |         79 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/ToolProposalCard.tsx                           | TypeScript JSX   |        272 |         18 |         15 |        305 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/WebSearchResults.tsx                           | TypeScript JSX   |         82 |          7 |          9 |         98 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/ActorTypeChart.tsx                   | TypeScript JSX   |         85 |          6 |          9 |        100 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/CollectionQualityChart.tsx           | TypeScript JSX   |         91 |          5 |          7 |        103 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/CrawlStatsSection.tsx                | TypeScript JSX   |        135 |          6 |         10 |        151 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/DashboardView.tsx                    | TypeScript JSX   |        244 |         31 |         23 |        298 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/FileTypeChart.tsx                    | TypeScript JSX   |        112 |          6 |          9 |        127 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/IngestMethodChart.tsx                | TypeScript JSX   |        102 |          6 |          9 |        117 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/IngestionTimeline.tsx                | TypeScript JSX   |        133 |          7 |          8 |        148 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/QualityHistogram.tsx                 | TypeScript JSX   |         58 |          4 |          6 |         68 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/ReviewStatusChart.tsx                | TypeScript JSX   |         88 |          4 |          8 |        100 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/StatsCards.tsx                       | TypeScript JSX   |         97 |          5 |          7 |        109 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/dashboard/index.ts                             | TypeScript       |         10 |          4 |          3 |         17 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/layout/AppLayout.tsx                           | TypeScript JSX   |         47 |         10 |          8 |         65 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/layout/LeftNavigation.tsx                      | TypeScript JSX   |        144 |         17 |         18 |        179 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/layout/MainContent.tsx                         | TypeScript JSX   |         61 |         14 |         10 |         85 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/layout/RightPanel.tsx                          | TypeScript JSX   |          3 |         16 |          3 |         22 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/layout/TopBar.tsx                              | TypeScript JSX   |         64 |         11 |          5 |         80 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/modals/ConfirmDeleteModal.tsx                  | TypeScript JSX   |        139 |         10 |         13 |        162 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/modals/IngestionModal.tsx                      | TypeScript JSX   |      1,193 |        116 |        138 |      1,447 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/modals/LinkToCollectionModal.tsx               | TypeScript JSX   |        218 |         17 |         16 |        251 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/modals/PageRelevanceDisplay.tsx                | TypeScript JSX   |        294 |         14 |         27 |        335 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/views/DocumentsView.tsx                        | TypeScript JSX   |        413 |         38 |         39 |        490 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/views/SearchView.tsx                           | TypeScript JSX   |        608 |         29 |         48 |        685 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/visualizations/GraphVisualization.tsx          | TypeScript JSX   |        254 |         16 |         19 |        289 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/components/visualizations/TimelineVisualization.tsx       | TypeScript JSX   |        230 |         18 |         18 |        266 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/ragApi.ts                                                 | TypeScript       |        355 |         68 |         59 |        482 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/store.ts                                                  | TypeScript       |        742 |         78 |         75 |        895 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/styles/global.css                                         | CSS              |        283 |         24 |         47 |        354 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/theme/lumentor.ts                                         | TypeScript       |        183 |          6 |         15 |        204 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/rag/types.ts                                                  | TypeScript       |        251 |         55 |         45 |        351 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/src/vite-env.d.ts                                                 | TypeScript       |          6 |          1 |          3 |         10 |
| /Users/timkitchens/projects/ai-projects/rag-memory/frontend/vite.config.ts                                                    | TypeScript       |         14 |          1 |          2 |         17 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/Dockerfile                                                | Docker           |         50 |         15 |         14 |         79 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/Makefile                                                  | Makefile         |         18 |          7 |          8 |         33 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/conftest.py                                               | Python           |          5 |          2 |          4 |         11 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/docker-compose.test.yml                                   | YAML             |         38 |          0 |          2 |         40 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/docker-compose.yml                                        | YAML             |         90 |          0 |          3 |         93 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/ellipsis.yaml                                             | YAML             |         17 |          1 |          2 |         20 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/examples/azure-openai/azure_openai_neo4j.py               | Python           |        135 |         58 |         33 |        226 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/examples/ecommerce/runner.py                              | Python           |         90 |          5 |         29 |        124 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/examples/opentelemetry/otel_stdout_example.py             | Python           |        101 |          0 |         25 |        126 |
| /Users/timkitchens/projects/ai-projects/rag-memory/graphiti-patched/examples/opentelemetry/uv.lock                            | toml             |        823 |          0 |         43 |        866 |
