ID,name,KG_climate,geometry
US-xKA,NEON Konza Prairie Biological Station - Relocatable (KONA),4,POINT (-96.6129 39.1104)
US-CS3,Central Sands Irrigated Agricultural Field,4,POINT (-89.5727 44.1394)
US-xTE,NEON Lower Teakettle (TEAK),4,POINT (-119.006 37.0058)
US-Rwf,RCEW Upper Sheep Prescibed Fire,4,POINT (-116.7231 43.1207)
US-xML,NEON Mountain Lake Biological Station (MLBS),4,POINT (-80.5248 37.3783)
US-UiB,University of Illinois Miscanthus,4,POINT (-88.1984 40.0628)
PR-xGU,NEON Guanica Forest (GUAN),1,POINT (-66.8687 17.9696)
US-ARM,ARM Southern Great Plains site- Lamont,3,POINT (-97.4888 36.6058)
US-Kon,Konza Prairie LTER (KNZ),4,POINT (-96.5603 39.0824)
US-HB2,Hobcaw Barony Mature Longleaf Pine,3,POINT (-79.244 33.3242)
US-xSL,"NEON North Sterling, CO (STER)",2,POINT (-103.0293 40.4619)
US-xWD,NEON Woodworth (WOOD),4,POINT (-99.2414 47.1282)
US-CS4,Central Sands Irrigated Agricultural Field,4,POINT (-89.5475 44.1597)
US-xAE,NEON Klemme Range Research Station (OAES),3,POINT (-99.0588 35.4106)
US-GLE,GLEES,4,POINT (-106.2399 41.3665)
